n.id,n.degree,n.eigenvector,n.pagerank,n.closeness,n.betweenness,n.pregel_auth,n.pregel_hub
1,241.0,23.874564210931638,106.74377238024898,0.32952938800242376,754200.0,7.341435207911719e-10,0.0018345514793663012
2,591.0,360.91338337971325,260.4825785483117,0.45828651685393257,3793827.0,0.04770856665066181,0.0018345514793663012
3,682.0,530.1985060377228,301.51841895836407,0.3403212348769295,1989882.0,0.8404238610989503,0.02070018627511785
4,503.0,53.431383567880474,222.4621633611619,0.3117714504108542,1511773.0,0.0018863856278767176,0.0015474156748157472
5,667.0,549.1766447118316,294.67917354902164,0.4244276795005203,3255162.0,0.5383202530401097,0.0018345514793663012
6,586.0,158.74227543462263,258.9041115168483,0.3975389863547758,2829300.0,0.04024143486217506,0.0018345514793663012
7,1.0,6.417748397263566,0.5253738754079678,0.2844812554489974,0.0,0.0,0.0015474156748157472
8,1.0,13.888014273765364,0.5242381748830667,0.3142939703332691,0.0,0.0,0.0018345514793663012
9,1.0,13.888014273765364,0.5242381748830667,0.3142939703332691,0.0,0.0,0.0018345514793663012
10,1.0,2.404388264800289,0.525824884747999,0.23768939393939395,0.0,0.0,0.00007253773875909464
11,1.0,20.838157197507897,0.5253786404289712,0.29799086757990867,0.0,0.0,0.02070018627511785
12,1.0,6.417748397263566,0.5253738754079678,0.2844812554489974,0.0,0.0,0.0015474156748157472
13,1.0,20.838157197507897,0.5253786404289712,0.29799086757990867,0.0,0.0,0.02070018627511785
14,1.0,13.888014273765364,0.5242381748830667,0.3142939703332691,0.0,0.0,0.0018345514793663012
15,1.0,13.888014273765364,0.5242381748830667,0.3142939703332691,0.0,0.0,0.0018345514793663012
16,1.0,2.404388264800289,0.525824884747999,0.23768939393939395,0.0,0.0,0.00007253773875909464
17,1.0,20.838157197507897,0.5253786404289712,0.29799086757990867,0.0,0.0,0.02070018627511785
18,1.0,20.838157197507897,0.5253786404289712,0.29799086757990867,0.0,0.0,0.02070018627511785
19,1.0,6.417748397263566,0.5253738754079678,0.2844812554489974,0.0,0.0,0.0015474156748157472
20,1.0,6.417748397263566,0.5253738754079678,0.2844812554489974,0.0,0.0,0.0015474156748157472
21,1.0,20.838157197507897,0.5253786404289712,0.29799086757990867,0.0,0.0,0.02070018627511785
22,1.0,2.404388264800289,0.525824884747999,0.23768939393939395,0.0,0.0,0.00007253773875909464
